thread_id,customer_tweet_id,customer_author_id,created_at,customer_text,xbox_reply_tweet_id,xbox_reply_text,proposed_resolution_mode,proposed_handling_signal,resolution_mode_review_status,intent,intent_semantic_confidence,intent_label_source
4535,4535,116775,Tue Oct 31 16:28:06 +0000 2017,@310 Are you ever going to patch the BFA achievement on Darksiders 2 for Xbox one?  You already fixed PS4.,4533,"@116775 If you need help with this, let us know! We're official Xbox support &amp; we'd be happy to help ^EZ",general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,other_or_needs_context,0.303,semantic_prototype_weak_label
4535,4534,116775,Sun Nov 12 22:12:50 +0000 2017,@XboxSupport Maybe push them into fixing broken achievements on Xbox One?,4536,"@116775 Hello! If you're seeing achievement issues, we recommend the steps over in our guide here  https://t.co/sjqdEQXJjy  ^TJ",public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,account_access_profile,0.431,semantic_prototype_weak_label
4535,4537,116775,Sun Nov 12 22:55:02 +0000 2017,"@XboxSupport No, it is literally unobtainable.",4538,@116775 Not sure we follow. Could you follow us back &amp; DM your GamerTag when you get a chance? ^TJ,private_account_investigation,escalate,rule_assisted_needs_sample_review,other_or_needs_context,0.476,semantic_prototype_weak_label
7914,7914,117354,Tue Oct 31 22:47:25 +0000 2017,"@XboxSupport cada vez funciona peor su pagina ,los juegos que adquiri no me deja comentarlos ni puntuarlos,el soporte en linea no funciona..",7913,@117354 Hi there! We're actually an English speaking support channel. To continue in your native language you can here 1 ^JS,general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,connectivity_xbox_live,0.216,semantic_prototype_weak_label
9709,9709,117767,Tue Oct 31 23:46:15 +0000 2017,@XboxSupport my gears of war 4 wont launch it goes on the loading screen and boots me off the game,9708,@117767 Hello! Let's try going through the steps here: https://t.co/mqOAlFhV0f to see if that helps with your game.  ^RR,public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,account_access_profile,0.323,semantic_prototype_weak_label
14229,14228,119020,Wed Nov 01 01:53:06 +0000 2017,"@XboxSupport I have no card in the account was on four times in the last two weeks, this is horrible I’ve been a customr since 05 check my account again",14227,"@119020 We are a separate team from Enforcement, so we can't speculate on that. 1/2 ^JA",enforcement_review,escalate,rule_assisted_needs_sample_review,account_access_profile,0.540,semantic_prototype_weak_label
15526,15514,119426,Wed Nov 01 02:47:31 +0000 2017,@XboxSupport So nothing on this @XboxSupport?,15512,@119426 We're sorry to hear about your controller! What seems to be the trouble that you are encountering?  ^JA,general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,other_or_needs_context,0.560,semantic_prototype_weak_label
15526,15515,119426,Wed Nov 01 04:05:11 +0000 2017,@XboxSupport ...but the controller doesn't power back on. Not sure what you all can do. Looks like another $60 down the drain.,15516,@119426 Gotcha. Have you tried the steps in the guide here: https://t.co/bt2yEiHzkV  ^JA,public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,account_access_profile,0.441,semantic_prototype_weak_label
15526,15517,119426,Wed Nov 01 04:17:38 +0000 2017,"@XboxSupport Yeah, nothing has worked. The controller isn't powering on. Just getting that faint light from the home button and that is it.",15518,"@119426 Thanks for trying out those steps. Just to clarify, have you tested plugging in a USB cable directly into the console? ^JA",needs_more_context,escalate,rule_assisted_needs_sample_review,account_access_profile,0.362,semantic_prototype_weak_label
15526,15519,119426,Wed Nov 01 04:20:24 +0000 2017,"@XboxSupport Yes, I have the play and charge kit and have tried that. It is still not powering on.",15520,"@119426 Thanks for that info. In this case, we'd recommend reaching out to the chat team: 1/2 ^JA",specialist_handoff,escalate,rule_assisted_needs_sample_review,account_access_profile,0.342,semantic_prototype_weak_label
15526,15522,119426,Wed Nov 01 04:29:35 +0000 2017,"@XboxSupport I doubt much can be done, as it’s been at least a year since I bought it, but will reach out tmr anyway. Thanks.",15523,@119426 You're very welcome. We hope you enjoy the rest of your evening.  ^JA,general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,how_to_product_information,0.352,semantic_prototype_weak_label
17438,17438,119856,Wed Nov 01 04:19:44 +0000 2017,"@115786 the leak of the X1X has been reposted, DM me for the link.  I sent the link to @XboxSupport in a DM, so please get it taken down quick",17437,"@119856 Hello, make sure to report the videos, we appreciate you reaching out to us.  ^CO",visual_evidence_required,escalate,rule_assisted_needs_sample_review,other_or_needs_context,0.412,semantic_prototype_weak_label
23438,23438,121099,Sun Nov 26 00:17:48 +0000 2017,@XboxSupport I can’t sign in to my account and haven’t been able to for the past few hours help,23437,"@121099 Hi! Let's have you follow us, DM us your Gamertag, and some more info about what you're seeing: https://t.co/nPX1yNXCi5 
 ^BL",private_account_investigation,escalate,rule_assisted_needs_sample_review,account_access_profile,0.803,semantic_prototype_weak_label
44269,44269,125840,Wed Nov 01 13:32:21 +0000 2017,@XboxSupport I'm receiving this error code with no search results. https://t.co/UknWQiUjRL,44266,"@125840 Hi, when does that error appears on your screen? ^RM",general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,account_access_profile,0.466,semantic_prototype_weak_label
44269,44267,125840,Wed Nov 01 16:35:23 +0000 2017,@XboxSupport What's up with that code though? All issues aside. Why no reference?,44270,"@125840 Try restarting your console with these steps https://t.co/Z4gqYJG4xh to resolve that error code
 ^RM",public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,other_or_needs_context,0.524,semantic_prototype_weak_label
44269,44271,125840,Wed Nov 01 16:40:40 +0000 2017,"@XboxSupport Yeah, cool. What's the error code though? Is it just a made up one?",44272,@125840 Error codes pop up for different reasons. We can not speculate why. ^RM,general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,other_or_needs_context,0.457,semantic_prototype_weak_label
47582,47582,126628,Wed Nov 01 16:35:06 +0000 2017,Hey @XboxSupport was there an update pushed recently again? Having Xbox issues again :(,47580,@126628 Hi there. Please reach out to the live chat team: https://t.co/lUV7XYl61S as soon as possible. ^BZ,specialist_handoff,escalate,rule_assisted_needs_sample_review,other_or_needs_context,0.560,semantic_prototype_weak_label
47584,47584,126629,Wed Nov 01 16:42:00 +0000 2017,@XboxSupport sent a dm,47583,@126629 Try reinstalling the game to get the content to appear. You can follow these steps here  https://t.co/zox0T68AHf ^RM,public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,account_access_profile,0.420,semantic_prototype_weak_label
47591,47586,126630,Wed Nov 01 16:24:27 +0000 2017,@126631 @XboxSupport I wasn’t expecting to be able to pre-order a preview game either. If I’ve understood it correctly theres going to be 3 different editions.,47585,"@126630 Hi there! We don't have any specific info for that, but keep an eye on https://t.co/1QSni2GOvR for any announcements :) ^BZ",public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,other_or_needs_context,0.423,semantic_prototype_weak_label
49809,49805,127147,Wed Nov 01 15:41:23 +0000 2017,@127148 @XboxSupport Is this Television okay? - https://t.co/cBIuaOTIsZ,49804,@127147 Dolby Atmos app. You can find out more about configuring those audio settings here: https://t.co/dJREquuuBT .  2 ^ZM,public_documentation,auto_handle_candidate,rule_assisted_needs_sample_review,other_or_needs_context,0.451,semantic_prototype_weak_label
49809,49805,127147,Wed Nov 01 15:41:23 +0000 2017,@127148 @XboxSupport Is this Television okay? - https://t.co/cBIuaOTIsZ,49806,"@127147 Hi, you may want to reach out to your TV's manufacturer for further clarification after downloading the  1 ^ZM",general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,other_or_needs_context,0.451,semantic_prototype_weak_label
54998,54998,128470,Wed Nov 01 18:37:15 +0000 2017,@XboxSupport hello so I'm trying to add a new profile and I'm having issues,54996,"@128470 Hi, what issues are you experiencing? ^RM",general_or_unclear_reply,review_required,rule_assisted_needs_sample_review,account_access_profile,0.571,semantic_prototype_weak_label
55612,55612,128613,Thu Nov 23 00:24:02 +0000 2017,"@XboxSupport Are you aware of issues with the XBox App on Windows 10 Insider build 17040 and 17046? The streaming is not working at all, nothing showing up on the PC.",55611,@128613 Hey there! Mind sending us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can further assist?  ^JA,private_account_investigation,escalate,rule_assisted_needs_sample_review,other_or_needs_context,0.452,semantic_prototype_weak_label
